,angry,sad,disgust,fear,neutral,happy,SpkrID,Gender,Split_Set
1010_MTI_SAD_XX.wav,0.01,0.3132258064516128,0.0403225806451612,0.0706451612903225,0.5558064516129032,0.01,1010,Female,Train
1037_IWL_HAP_XX.wav,0.1353333333333333,0.01,0.01,0.01,0.01,0.8246666666666667,1037,Female,Train
1022_IWW_FEA_XX.wav,0.01,0.104,0.01,0.6366666666666666,0.2293333333333333,0.01,1022,Male,Train
1001_TIE_FEA_XX.wav,0.4041935483870967,0.01,0.0403225806451612,0.4041935483870967,0.1312903225806451,0.01,1001,Male,Train
1019_IOM_HAP_XX.wav,0.01,0.0413333333333333,0.0413333333333333,0.01,0.1666666666666666,0.7306666666666667,1019,Male,Train
1052_DFA_FEA_XX.wav,0.0413333333333333,0.2293333333333333,0.0413333333333333,0.574,0.104,0.01,1052,Female,Train
1028_TAI_FEA_XX.wav,0.0413333333333333,0.3233333333333333,0.198,0.4173333333333333,0.01,0.01,1028,Female,Train
1013_MTI_DIS_XX.wav,0.1009677419354838,0.1312903225806451,0.4041935483870967,0.1616129032258064,0.1919354838709677,0.01,1013,Female,Train
1049_DFA_HAP_XX.wav,0.01,0.01,0.01,0.01,0.1353333333333333,0.8246666666666667,1049,Female,Train
1040_IWL_FEA_XX.wav,0.01,0.292,0.0413333333333333,0.292,0.3546666666666666,0.01,1040,Male,Train
1025_TAI_HAP_XX.wav,0.01,0.01,0.01,0.0726666666666666,0.1353333333333333,0.762,1025,Female,Train
1046_ITH_FEA_XX.wav,0.292,0.0413333333333333,0.104,0.1666666666666666,0.386,0.01,1046,Female,Train
1034_MTI_FEA_XX.wav,0.01,0.104,0.0413333333333333,0.104,0.7306666666666667,0.01,1034,Male,Train
1007_IOM_DIS_XX.wav,0.0403225806451612,0.1616129032258064,0.434516129032258,0.1312903225806451,0.222258064516129,0.01,1007,Female,Train
1004_IOM_SAD_XX.wav,0.01,0.5254838709677419,0.01,0.1616129032258064,0.2829032258064516,0.01,1004,Female,Train
1043_ITH_HAP_XX.wav,0.01,0.01,0.01,0.01,0.2293333333333333,0.7306666666666667,1043,Female,Train
1031_MTI_HAP_XX.wav,0.01,0.1353333333333333,0.0413333333333333,0.01,0.7933333333333333,0.01,1031,Male,Train
1016_TIE_FEA_XX.wav,0.2293333333333333,0.0413333333333333,0.1666666666666666,0.3546666666666666,0.198,0.01,1016,Male,Train
1035_MTI_SAD_XX.wav,0.01,0.3989655172413792,0.0424137931034482,0.2044827586206896,0.3341379310344827,0.01,1035,Male,Train
1050_ITH_DIS_XX.wav,0.2044827586206896,0.0748275862068965,0.3665517241379309,0.01,0.1720689655172413,0.1720689655172413,1050,Male,Train
1032_TAI_DIS_XX.wav,0.0424137931034482,0.2693103448275862,0.1720689655172413,0.1072413793103448,0.3665517241379309,0.0424137931034482,1032,Male,Train
1053_DFA_SAD_XX.wav,0.0424137931034482,0.3017241379310345,0.0424137931034482,0.2693103448275862,0.3341379310344827,0.01,1053,Female,Train
1017_TIE_SAD_XX.wav,0.0413333333333333,0.198,0.0413333333333333,0.01,0.6679999999999999,0.0413333333333333,1017,Male,Train
1004_WSI_NEU_XX.wav,0.198,0.0726666666666666,0.198,0.01,0.5113333333333333,0.01,1004,Female,Train
1038_MTI_DIS_XX.wav,0.01,0.2368965517241379,0.4637931034482758,0.139655172413793,0.139655172413793,0.01,1038,Male,Train
1029_TAI_SAD_XX.wav,0.01,0.6366666666666666,0.01,0.2293333333333333,0.104,0.01,1029,Female,Train
1047_ITH_SAD_XX.wav,0.01,0.1072413793103448,0.1072413793103448,0.1072413793103448,0.6582758620689655,0.01,1047,Female,Train
1023_IWW_SAD_XX.wav,0.01,0.1353333333333333,0.104,0.386,0.3233333333333333,0.0413333333333333,1023,Male,Train
1011_IEO_FEA_HI.wav,0.292,0.01,0.0413333333333333,0.5113333333333333,0.0726666666666666,0.0726666666666666,1011,Male,Train
1026_IWW_DIS_XX.wav,0.0413333333333333,0.0726666666666666,0.6053333333333333,0.2606666666666666,0.01,0.01,1026,Male,Train
1020_IOM_DIS_XX.wav,0.1666666666666666,0.4173333333333333,0.1666666666666666,0.0726666666666666,0.1666666666666666,0.01,1020,Female,Train
1014_IEO_DIS_HI.wav,0.198,0.0413333333333333,0.6053333333333333,0.0726666666666666,0.0726666666666666,0.01,1014,Male,Train
1007_WSI_ANG_XX.wav,0.762,0.0413333333333333,0.1353333333333333,0.0413333333333333,0.01,0.01,1007,Female,Train
1002_TIE_ANG_XX.wav,0.5610344827586207,0.01,0.139655172413793,0.1720689655172413,0.01,0.1072413793103448,1002,Female,Train
1044_IWL_DIS_XX.wav,0.3989655172413792,0.1072413793103448,0.1072413793103448,0.2368965517241379,0.139655172413793,0.01,1044,Male,Train
1041_IWL_SAD_XX.wav,0.0424137931034482,0.139655172413793,0.0748275862068965,0.0424137931034482,0.6906896551724138,0.01,1041,Male,Train
